kode_kec,nama_kec,kode_kab,nama_kab,kode_prov,nama_prov,votes_jokowi,votes_prabowo,suara_sah,suara_tidak_sah,suara_total,kp_kec_names
111116,Peusangan Selatan,1111,Kabupaten Bireuen,11,Aceh,489,7172,7503,426,7929,PEUSANGAN SELATAN
111117,Kuta Blang,1111,Kabupaten Bireuen,11,Aceh,632,11867,12499,368,12868,KUTA BLANG
111201,Blangpidie,1112,Kabupaten Aceh Barat Daya,11,Aceh,1143,12101,13232,431,13628,BLANG PIDIE
111202,Tangan-Tangan,1112,Kabupaten Aceh Barat Daya,11,Aceh,715,7240,7956,384,8341,TANGAN-TANGAN
111203,Manggeng,1112,Kabupaten Aceh Barat Daya,11,Aceh,828,7831,8659,426,9107,MANGGENG
111204,Susoh,1112,Kabupaten Aceh Barat Daya,11,Aceh,1951,12048,13786,717,14691,SUSOH
111205,Kuala Batee,1112,Kabupaten Aceh Barat Daya,11,Aceh,1068,11252,12304,506,12829,KUALA BATEE
111206,Babah Rot,1112,Kabupaten Aceh Barat Daya,11,Aceh,1322,10036,11358,532,11643,BABAH ROT
111207,Setia,1112,Kabupaten Aceh Barat Daya,11,Aceh,609,4405,5028,369,5358,SETIA
111208,Jeumpa,1112,Kabupaten Aceh Barat Daya,11,Aceh,622,5697,6319,381,6726,JEUMPA
111209,Lembah Sabil,1112,Kabupaten Aceh Barat Daya,11,Aceh,529,5931,6453,262,6743,LEMBAH SABIL
111301,Blangkejeren,1113,Kabupaten Gayo Lues,11,Aceh,3121,12614,15532,722,16226,BLANGKEJEREN
111302,Kutapanjang,1113,Kabupaten Gayo Lues,11,Aceh,1713,3508,5221,235,5456,KUTAPANJANG
111303,Rikit Gaib,1113,Kabupaten Gayo Lues,11,Aceh,1255,1427,2682,62,2744,RIKIT GAIB
111304,Terangun,1113,Kabupaten Gayo Lues,11,Aceh,2247,3270,5517,241,5598,TERANGUN
111305,Pining,1113,Kabupaten Gayo Lues,11,Aceh,924,1910,2834,267,3101,PINING
111306,Blangpegayon,1113,Kabupaten Gayo Lues,11,Aceh,992,2431,3423,214,3641,BLANGPEGAYON
111307,Puteri Betung,1113,Kabupaten Gayo Lues,11,Aceh,2332,2700,4861,322,5181,PUTERI BETUNG
111308,Dabun Gelang,1113,Kabupaten Gayo Lues,11,Aceh,1144,2320,3464,161,3642,DABUN GELANG
111309,Blangjerango,1113,Kabupaten Gayo Lues,11,Aceh,1995,2245,4240,276,4302,BLANGJERANGO
111310,Teripe Jaya,1113,Kabupaten Gayo Lues,11,Aceh,1967,1601,3568,143,3711,TERIPE JAYA
111311,Pantan Cuaca,1113,Kabupaten Gayo Lues,11,Aceh,1083,1413,2497,70,2567,PANTAN CUACA
111401,Teunom,1114,Kabupaten Aceh Jaya,11,Aceh,830,7483,8303,254,8553,TEUNOM
111402,Krueng Sabee,1114,Kabupaten Aceh Jaya,11,Aceh,920,8219,9125,408,9453,KRUENG SABEE
111403,Setia Bakti,1114,Kabupaten Aceh Jaya,11,Aceh,563,4334,4776,287,5065,SETIA BAKTI
111404,Sampoi Niet,1114,Kabupaten Aceh Jaya,11,Aceh,507,3784,4291,155,4446,SAMPOINIET
111405,Jaya,1114,Kabupaten Aceh Jaya,11,Aceh,776,8538,9240,257,9513,JAYA
111406,Panga,1114,Kabupaten Aceh Jaya,11,Aceh,774,4261,5039,171,5101,PANGA
111407,Indra Jaya,1114,Kabupaten Aceh Jaya,11,Aceh,368,3860,4228,69,4292,INDRA JAYA
111408,Darul Hikmah,1114,Kabupaten Aceh Jaya,11,Aceh,424,3560,3984,163,4147,DARUL HIKMAH
111409,Pasie Raya,1114,Kabupaten Aceh Jaya,11,Aceh,478,3898,4376,171,4547,PASIE RAYA
111501,Kuala,1115,Kabupaten Nagan Raya,11,Aceh,1759,10670,12435,392,12450,KUALA
111502,Seunagan,1115,Kabupaten Nagan Raya,11,Aceh,979,9027,10006,199,9913,SEUNAGAN
111503,Seunagan Timur,1115,Kabupaten Nagan Raya,11,Aceh,794,8261,9199,239,9438,SEUNAGAN TIMUR
111504,Beutong,1115,Kabupaten Nagan Raya,11,Aceh,855,8143,9042,242,9152,BEUTONG
111505,Darul Makmur,1115,Kabupaten Nagan Raya,11,Aceh,4646,23094,27737,965,28447,DARUL MAKMUR
111506,Suka Makmue,1115,Kabupaten Nagan Raya,11,Aceh,503,5675,6178,342,6008,SUKA MAKMUE
111507,Kuala Pesisir,1115,Kabupaten Nagan Raya,11,Aceh,1482,8523,10000,293,10288,KUALA PESISIR
111508,Tadu Raya,1115,Kabupaten Nagan Raya,11,Aceh,1499,7068,8572,255,8876,TADU RAYA
111509,Tripa Makmur,1115,Kabupaten Nagan Raya,11,Aceh,372,5003,5456,150,5458,TRIPA MAKMUR
